time	V(n006)
2.668387498551967e-05	1.843553e-05
2.707449998551967e-05	1.843553e-05
2.746512498551967e-05	1.843553e-05
2.785574998551968e-05	1.843553e-05
2.824637498551968e-05	1.843553e-05
2.863699998551968e-05	1.843553e-05
2.902762498551968e-05	1.843553e-05
2.941824998551968e-05	1.843553e-05
2.980887498551968e-05	1.843553e-05
3.019949998551968e-05	1.843553e-05
3.059012498551968e-05	1.843553e-05
3.098074998551968e-05	1.843553e-05
3.137137498551967e-05	1.843553e-05
3.176199998551967e-05	1.843553e-05
3.215262498551967e-05	1.843553e-05
3.254324998551967e-05	1.843553e-05
3.293387498551966e-05	1.843553e-05
3.332449998551966e-05	1.843553e-05
3.371512498551966e-05	1.843553e-05
3.410574998551966e-05	1.843553e-05
3.449637498551966e-05	1.843553e-05
3.488699998551965e-05	1.843553e-05
3.527762498551965e-05	1.843553e-05
3.566824998551965e-05	1.843553e-05
3.605887498551965e-05	1.843553e-05
3.644949998551964e-05	1.843553e-05
3.684012498551964e-05	1.843553e-05
3.723074998551964e-05	1.843553e-05
3.762137498551964e-05	1.843553e-05
3.801199998551963e-05	1.843553e-05
3.840262498551963e-05	1.843553e-05
3.879324998551963e-05	1.843553e-05
3.918387498551963e-05	1.843553e-05
3.957449998551962e-05	1.843553e-05
3.996512498551962e-05	1.843553e-05
4.035574998551962e-05	1.843553e-05
4.074637498551962e-05	1.843553e-05
4.113699998551962e-05	1.843553e-05
4.152762498551961e-05	1.843553e-05
4.191824998551961e-05	1.843553e-05
4.230887498551961e-05	1.843553e-05
4.269949998551961e-05	1.843553e-05
4.309012498551960e-05	1.843553e-05
4.348074998551960e-05	1.843553e-05
4.387137498551960e-05	1.843553e-05
4.426199998551960e-05	1.843553e-05
4.465262498551959e-05	1.843553e-05
4.504324998551959e-05	1.843553e-05
4.543387498551959e-05	1.843553e-05
4.582449998551959e-05	1.843553e-05
4.621512498551958e-05	1.843553e-05
4.660574998551958e-05	1.843553e-05
4.699637498551958e-05	1.843553e-05
